link,marketplace,name,brand,size,currentPrice,previousPrice,department,color,shippingCharge
https://www.ebay.com/itm/Adidas-NMD-R1-The-Brand-With-The-Three-Stripes-Whiteout/233947884482?hash=item3678616bc2:g:Ji4AAOSwARZXnMlp,ebay,"Adidas NMD R1 ""The Brand With The Three Stripes"" - Whiteout",addidas,,$206.54,,Men,White,+$68.85 shipping
https://www.ebay.com/itm/Adidas-Yeezy-700-V3-Kyanit-Blue-Size-5UK-Brand-New-in-Box/203327635037?hash=item2f57457e5d:g:na0AAOSwFwlgY3Nf,ebay,Adidas Yeezy 700 V3 'Kyanit' Blue Size 5UK Brand New in Box,addidas,UK 5,$330.49,,Men,Blue,+$27.53 shipping
https://www.ebay.com/itm/Adidas-Originals-Run-70s-Retro-Style-Knit-Athletic-Shoes-8/154396096070?hash=item23f2b97646:g:O58AAOSwPKNgNBhP,ebay,Adidas Originals Run 70's Retro Style Knit Athletic Shoes 8,addidas,D,$14.99,,Men,Red,+$48.00 shipping
https://www.ebay.com/itm/adidas-Originals-Mens-D-Rose-11-Mens-Trainers-in-Black-and-Gold/154396134858?hash=item23f2ba0dca:g:HMUAAOSwB5VgY5Dl,ebay,adidas Originals Men's D Rose 11 Mens Trainers in Black and Gold,addidas,Standard,$232.01,,Men,Black/Gold,Free International Shipping
https://www.ebay.com/itm/adidas-Originals-Mens-Top-Ten-High-shoes-white/154370174284?_trkparms=ispr%3D1&hash=item23f12ded4c:g:n2QAAOSwz19gTN5g&amdata=enc%3AAQAFAAACcBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickkxGz2ccqatkEnoeekHqhLkcfjgorppDBSa1uzlSGCO6sXGRY0lsAqcdldRxA4IQkzZu1v5nukYvwf6b88Mfuj8UIYiyxTiokSj%252FFzK3u%252F0%252FstuLK4Eeox5CzEdqV90b5Cjdpc5bIIEIV7m5Mj9FMHGS707QjVLKmHlfpBPbKvN30EmtKrsa5TYmnAJIsi1xc5OGYMIKlMdSlZW4VUbpG5Of43hJ%252FeJhBEMyzkyD8huNsWa%252B%252BELEF5W5d7A126qr%252BvWIoW%252Fq7iF8PSrveEq0cNLkUmyNY6h4HJowvXzCq10XbfVDuNnWsvPPeDTGGAc%252BY%252FNKviPXRG4d2iGPNuZxq1XqJ9vwa6bIteHgEsWt8cgK7I1eoOeRmJ2ZUQ%252FZ8qR1i7Zg6dFu12krVhcWCMNzOGjO8IRUAHxaA7tInJnNFwKXjFIG5yYBSQdv6Y4Tv2n2FR1n3QdsrmKzR4HFJchpb%252FRT8ArefPH9BiLjy9s%252B73ph4GrBLdDV7JEUseJWD40Ly1Qn%252FSDl8O2KNUlRr1h%252BixqBzDZsBQ9gMGB77GlABDIsMAP7RWi7XMEefRGTMfhsl1f7ElQQq6XNyvcmiawDwWG7OM6TzmtLIGMkToNsNUL2y62B4lYoIzudauyLK824LA1JLu7c%252FtZVv1OkHQns0NA4cFHI%252Bsg9ofosGkFoh2jWCQPBFiX6Uoq1zUVank4TlUFqGT%252BXutGYxqmqrRoo3QyY27xGBj%252F3rR5UG%252BYs8%252FjIvwiAy0HBJOtsoVFMYwmawgJwd%252Fx8iXrLKi%252Fnejf3sfBw%253D%253D%7Ccksum%3A154370174284bc2136cebea048d68c5e436ba0d5868f%7Campid%3APL_CLK%7Cclp%3A2334524,ebay,adidas Originals Mens Top Ten High shoes white,addidas,All Sizes,$110.15,,Men,White/blue,+$20.64 shipping
https://www.ebay.com/itm/Adidas-X-19-4-In-green-soccer-shoes-EF8373-grey/154391319019?_trkparms=ispr%3D1&hash=item23f27091eb:g:HeIAAOSw6mRgXpy~&amdata=enc%3AAQAFAAACcBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickkxGz2ccqatkEnoeekHqhLkcX7LS3CFazSbPyP20YXvEzB%252BWmNIUR7xkPVQDrTKmFVDy%252BuMfKyOx0R6z360MoFpLrgvNuoKRv96COJcZ6MzOOvcNVKPBUgWCnm1ar8HePycAWCnkjIEHL%252BPVUSCnOAYEg2bJA55LCBISpIg3vAikeRC9rZV22lFRsNb3mhi9sLIbSLrizXdHy0asXpIN0kDi5b%252BENQUg%252BpFxVIgCl6%252B3lGcWDxBlYfAZdVQrkHdCba6pDCYxZzxLGXlOVYlUtn6YYZgVyJwUds1Ji1Ldd2NOntuFXtIzfj74zFyD09SepiQkIJSPEu%252F1ShXaMJlBZh64moVqdUIVHJbMLeIYD1DSUDr4I4kSKy%252F%252FNyNwGJSiGFxtQwhAFIFMAc%252FM93qhQ1bce%252BAl67tjJv0oZHLfll2OBBM86tq%252FAut2OzatGwq%252FljogJDYnpkuAT14rR9E2Z8HQcw5Nnfx8JrIdJ2wdKSwGnUv6CTtdMa3pKVJMcBbXSjuKj5ICVpfZq521kPxLiA6H7uMbeRhAsnGmDbWY%252BUXtwcKV29xERsf0uy0uwszBclna1KkF%252BIuHRrxiHUaS2g0rdi6atFSGKJc4M8Snm1dLSwPh3WniWlNLrpYtmwGuBJRm67N37Ygk1JkQZ3eK%252BfePenhcm7DaqRq5%252BgP3bEm2naaBGEI7XTmGRuDIhWvh%252BKzc6VdLTQkWP4%252BSjiLJE0j1wLwvzFHKc6icUD5V8cAFKY3wAlEwQSV%252Fg25N0Qexvcb4h4x6r%252FCj%252BFq1PO%252F%252FJT9A%253D%253D%7Ccksum%3A154391319019bc2136cebea048d68c5e436ba0d5868f%7Campid%3APL_CLK%7Cclp%3A2334524,ebay,Adidas X 19.4 In green soccer shoes EF8373 grey,addidas,,$88.03,,Men,gray,+$6.10 shipping
https://www.ebay.com/itm/adidas-Originals-Jeans-Mens-Trainers-Grey-White-Suede-Leather-Shoes-All-Sizes/153896586475?_trkparms=ispr%3D1&hash=item23d4f38ceb:g:goAAAOSw2lRelFhP&amdata=enc%3AAQAFAAACcBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickkxGz2ccqatkEnoeekHqhLkfdwrHagPvaGNSxs6e7S9uR8y6FHSeearRqx4NcWDgVnZ2AuL4bYjH9BW4YKkLTtqWUenB9keSGR%252B%252FYlM4Uk0gXrkiJ2TKFx4pLPxs1QiFqcGGeHSSqxeTEbyoHXfwFLpAClTeovsOzbB6Dc30NDN0VBu1I2ipCQsbDSuWZXGpD164SLSg0JrqrR1syZcDNtCIITd4HDi%252FMImMISEjUQlmKr%252FxmkAoIW0jds7QbF5e1ZihjfZ9ppn%252BQHNECbcijdf0tH0bZC2KsywPmtY%252B6kX9oKJfZISjmj25ufkAMfHU18JiQ6%252BnI3JhiMksThFPRk2tksls0eXSme0TjidMLiAzIFUhUzrycZapN8dHBoOnxKqAYf9PDn0llk9v9MDyaEolO5smNbSu2gIUIIcsNLe5LezWVpOyeSp5TpzOdnwxHKxcW2GBId9XhUwVkSxb5dsKlMHsbA8FIEK4FLaI%252BD%252Fe4dMUboRmHlCL3Sb%252FMzQjfOksxGTLNWjyBOu9qkGCR7NYe00rNvQvRzpwXxMkwQXn6c2Ii0F6TUZyDX9Y5ymePUD1GbeyK%252FWu5op9msbejWdXKADjSnpv%252FHuN3RYdLunJBdZpnyxSHnRP%252B81dFyWF8cNCPDs%252BZR6V635rT4ovyo%252BfRmPVE5Pvt67DxANb05xpFyJnG7pL7Yk0COjUi5xlq3IOpDGhKnRh%252Fwbu9%252B5qFdxCYScYTST%252Bg9v%252Fb2fK5O7bTSFsdghrUwfCWIayV3rwq1mgm0wW%252FKPPPlPGqEr1h3Iw%253D%253D%7Ccksum%3A153896586475bc2136cebea048d68c5e436ba0d5868f%7Campid%3APL_CLK%7Cclp%3A2334524,ebay,adidas Originals Jeans Mens Trainers Grey / White Suede Leather Shoes All Sizes,addidas,,$137.69,,Men,Dark Grey,+$20.64 shipping
https://www.ebay.com/itm/Adidas-Orion-2-Originals-G65615-Mens-Shoes-Athletic-Sneakers-Red-Vintage-Leather/294080978564?_trkparms=ispr%3D1&hash=item4478979e84:g:6hkAAOSw7gBgWjI5&amdata=enc%3AAQAFAAACcBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickkvjzWOStkxwnlDuxSI1PVVh3Yt6QVVtvWHUh7BU886nf%252FSLSQOgsvyjs5h9Pzh5JqDc%252Fw9uxBOgdJ3RhCJLLO3z78HdheWFImjPGmLOo51dq2kzWYWmsfG0pKIbgfMFk5Yym8oTpEFqB0lzEmpUwCD90BTUo4lJPn4CE2wSS7DNgIMyrqukYr%252F%252FpT3qVNZ6T0XbAaGit8fk9VP%252FD8S2Wl0zz5sMRNBxZpxWqkB8RnaQGqdix1FdkOrObTGx6ePPCrEczesOjckvwfyrgZX%252FS790aTlXNfR%252FmRrbrHABhXW1GYFEX1EBHAygQC8rBNWgqPC%252FhU44UxgVz5XAwu4SUpxKRmmYh9vrD4cYNfUdyTt7QmnZL1IAZX52Z6cPTJ1XC88vCiWVNbVtmcSdfDnlbDpicW7wiQttonp1FrpkGw77gGkEVnktetuTkDPy4J9csCSrwzX9L%252B2xgKJXCW1wbtV3KT%252F%252B%252B%252B0eXd%252BTKbpyrdsWau6cSGxd6Euor3PetxFC3eSYdJLMxaTGR7%252BKP5Dmm3nA3NGTHj8KO8zfdxSRUuZMu4wMB3%252FLZaGuU7bHLLmfwX0bEFA8fx67Khb1T%252FNgmMpPC%252FrR8B144j6DUHGqqKml2742juDDmUgJuZHQ7Uc1l8Z%252BGNNlIhWO2QLuykdJYoNzrAc2TusSywBa%252F6Yqzf94IBGV5YaE8eqWb3%252FmNE%252BJ3JPeF1y7%252BrkoyXvAIGOxzcbqyl4yLI3heyfv2d5Db9mF45b3LZXQBiQlijIg%252FHbxSt0iUsz1iGwFHK4b%252Bp8EiKSw%253D%253D%7Ccksum%3A294080978564bc2136cebea048d68c5e436ba0d5868f%7Campid%3APL_CLK%7Cclp%3A2334524,ebay,Adidas Orion 2 Originals G65615 Mens Shoes Athletic Sneakers Red Vintage Leather,addidas,.,$84.99,,Men,Red,+$21.00 shipping
https://www.ebay.com/itm/adidas-Originals-Mens-D-Rose-11-Mens-Trainers-in-Green-and-White/154396134867?hash=item23f2ba0dd3:g:YMMAAOSwgX5gY5NP,ebay,adidas Originals Men's D Rose 11 Mens Trainers in Green and White,addidas,Standard,$232.01,,Men,Green/White,Free International Shipping
https://www.ebay.com/itm/Adidas-Yeezy-Foam-Runner-Sand-Size-6-UK-Unisex-Brand-new-in-the-Box/203327681722?hash=item2f574634ba:g:Px8AAOSwRbJgY3wh,ebay,Adidas Yeezy Foam Runner 'Sand' Size 6 UK Unisex Brand new in the Box,addidas,Standard,$399.34,,Men,Off White,+$27.53 shipping
https://www.ebay.com/itm/Adidas-Aoan-Vintage-2002-Shoes-Size-11-148237-100-AUTHENTIC/402771140638?hash=item5dc707e01e:g:6VkAAOSwPT9gWNmH,ebay,Adidas Aoan Vintage 2002 Shoes Size 11 148237 100% AUTHENTIC!,addidas,11,$49.99,,Men,Brown,+$41.50 shipping
https://www.ebay.com/itm/Adidas-Tmac-Millennium-2-Basketball-Shoes-Mens-Size-13-FV7935/194005671279?hash=item2d2ba39d6f:g:6IwAAOSwYdBgY5MC,ebay,Adidas Tmac Millennium 2 Basketball Shoes Mens Size 13 (FV7935),addidas,M,$100.00,,Men,Navy Blue Gold,+$34.00 shipping
https://www.ebay.com/itm/Adidas-Forum-Mid-NEW-RRP-149-Size-UK-10-leather-basketball-retro-80/333940442894?hash=item4dc066c70e:g:MEcAAOSworRfZ83s,ebay,Adidas Forum Mid NEW RRP £149 - Size UK 10 - leather basketball retro 80,addidas,EUR 44.5,$89.49,,Men,White,+$15.15 shipping
https://www.ebay.com/itm/adidas-Originals-Atlantic-MK-2-Shoes-in-Blue-and-Grey/154396056221?hash=item23f2b8da9d:g:sEIAAOSwfd5gY41I,ebay,adidas Originals Atlantic MK 2 Shoes in Blue and Grey,addidas,Standard,$110.15,,Men,Grey/Blue,+$20.64 shipping
